,Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
2957,Ford,focus_ii,2011,2.0 Trend Plus,100000,233000,5.0,hatchback,Bs.as. G.b.a. Sur
2958,Volkswagen,saveiro,2013,1.6 Ce 101cv Pack Electr.,47000,220000,2.0,pick_up,Entre Ríos
2959,Volkswagen,bora,2011,1.8 Highline T 180cv,86000,300000,4.0,sedan,Córdoba
2960,Volkswagen,voyage,2013,1.6 Comfortline 101cv Abcp Abs,110000,189000,4.0,sedan,Bs.as. G.b.a. Sur
2961,Ford,fiesta_kinetic_design,2012,1.6 Design 120cv Titanium,74500,250000,5.0,hatchback,Capital Federal
2962,Volkswagen,suran,2011,1.6 Trendline 11b,91000,228500,5.0,minivan,Bs.as. G.b.a. Oeste
2963,Volkswagen,gol,2013,1.4 Power 83cv 3 p,60000,165000,3.0,hatchback,Bs.as. G.b.a. Oeste
2964,Ford,fiesta_kinetic_design,2013,1.6 Design 120cv Titanium,63137,240000,5.0,hatchback,Bs.as. G.b.a. Norte
2965,Chrysler,pt_cruiser,2011,2.4 Touring,71000,6300,5.0,hatchback,Santa Fe
2966,Ford,ranger,2015,3.2 Cd 4x2 Xlt Tdci 200cv,50000,650000,4.0,pick_up,Santa Fe
2967,Volkswagen,vento,2013,2.5 Luxury 170cv Tiptronic,82000,390000,4.0,sedan,Bs.as. G.b.a. Oeste
2968,Ford,focus_iii,2014,2.0 Sedan Se,60000,399000,4.0,sedan,Bs.as. G.b.a. Sur
2969,Volkswagen,suran,2014,1.6 Highline 101cv,39500,300000,5.0,minivan,Córdoba
2970,Volkswagen,gol_trend,2012,1.6 Pack I 101cv,77000,195900,5.0,hatchback,Bs.as. G.b.a. Oeste
2971,Volkswagen,suran,2015,1.6 Comfortline 101cv,60000,239000,5.0,minivan,Santa Fe
2972,Ford,ecosport,2015,1.6 Titanium 110cv 4x2,80000,470000,5.0,suv,Mendoza
2973,Ford,focus_iii,2013,2.0 Sedan Titanium Mt,85000,440000,4.0,sedan,Capital Federal
2974,Ford,focus_iii,2016,1.6 S,33000,398000,5.0,hatchback,Capital Federal
2975,Ford,ranger,2014,3.2 Cd 4x2 Xlt Tdci 200cv,55000,580000,4.0,pick_up,Capital Federal
2976,Ford,ranger,2016,2.2 Cd 4x4 Xl Safety Tdci 125cv,76000,680000,2.0,pick_up,Santa Fe
2977,Ford,fiesta_kinetic_design,2015,1.6 S 120cv,84900,352000,5.0,hatchback,Mendoza
2978,Volkswagen,bora,2012,2.0 Trendline 115cv,56000,250000,4.0,sedan,Bs.as. G.b.a. Sur
2979,Volkswagen,bora,2012,2.0 Trendline 115cv,105000,220000,4.0,sedan,Bs.as. G.b.a. Oeste
2980,Ford,ranger,2013,3.2 Cd 4x2 Xlt Tdci 200cv,109000,595000,4.0,pick_up,Mendoza
2981,Honda,cr_v,2013,2.4 Lx 2wd 185cv At,119000,489900,5.0,suv,Bs.as. G.b.a. Norte
2982,Honda,civic,2014,1.8 Exs At 140cv,55000,470000,4.0,sedan,Bs.as. G.b.a. Norte
2983,Volkswagen,gol_trend,2012,1.6 Pack Iii 101cv,68012,224800,5.0,hatchback,Capital Federal
2984,Volkswagen,the_beetle,2014,1.4 Tsi Design,65800,460000,3.0,hatchback,Bs.as. G.b.a. Sur
2985,Volkswagen,amarok,2016,2.0 Cd Tdi 180cv 4x2 Trendline,91000,670000,4.0,pick_up,Buenos Aires Interior
2986,Volkswagen,gol,2011,1.6 I Power 701,70000,148000,3.0,hatchback,Córdoba
2987,Ford,focus_iii,2015,2.0 Se Plus At6,33000,456789,5.0,hatchback,Capital Federal
2988,Volkswagen,amarok,2016,2.0 Cd Tdi 140cv 4x2 Startline,40000,505000,4.0,pick_up,Bs.as. G.b.a. Oeste
2989,Volkswagen,bora,2013,2.0 Trendline 115cv,39000,255000,4.0,sedan,Bs.as. G.b.a. Sur
2990,Volkswagen,voyage,2014,1.6 Comfortline 101cv,31691,240000,4.0,sedan,Bs.as. G.b.a. Oeste
2991,Ford,ecosport,2012,1.6 S 110cv 4x2,55000,220000,5.0,suv,Chaco
2992,Ford,ka,2013,1.0 Fly Viral 63cv,61000,158000,3.0,hatchback,Córdoba
2993,Volkswagen,amarok,2016,2.0 Cs Tdi 140cv 4x2 Startline,12000,490000,2.0,pick_up,Bs.as. G.b.a. Oeste
2994,Ford,ecosport,2011,1.6 My10 Xls Plus 4x2,120000,210000,5.0,suv,Bs.as. G.b.a. Oeste
2995,Volkswagen,fox,2016,1.6 Trendline,19000,382000,5.0,hatchback,Bs.as. G.b.a. Norte
2996,Mercedes Benz,clase_a,2014,2.0 A 250 At Sport B.efficiency,19434,38900,5.0,hatchback,Capital Federal
2997,Mercedes Benz,clase_a,2015,2.0 A 250 At Sport B.efficiency,20000,38000,5.0,hatchback,Capital Federal
2998,Ford,ranger,2015,2.2 Cd 4x2 Xl Safety Tdci 125cv,65500,645000,2.0,pick_up,Bs.as. G.b.a. Norte
2999,Volkswagen,suran,2013,1.6 Highline 101cv,70000,249900,5.0,minivan,Santa Fe
3000,Ford,ranger,2014,3.2 Cd 4x4 Limited Tdci 200cv At,75000,690000,4.0,pick_up,Córdoba
3001,Ford,fiesta_kinetic_design,2012,1.6 Design 120cv Titanium,71000,270000,5.0,hatchback,Capital Federal
3002,Volkswagen,gol_trend,2014,1.6 Trendline 101cv,53000,250000,5.0,hatchback,Buenos Aires Interior
3003,Volkswagen,fox,2012,1.6 Confortline Pack,60000,220000,5.0,hatchback,Bs.as. G.b.a. Norte
3004,Ford,focus_iii,2015,1.6 S,35000,314990,5.0,hatchback,Capital Federal
3005,Volkswagen,amarok,2016,2.0 Cd Tdi 180cv 4x2 Trendline,47000,685000,4.0,pick_up,Bs.as. G.b.a. Norte
3006,Ford,focus_iii,2015,1.6 S,66000,364900,5.0,hatchback,Capital Federal
3007,Ford,focus_ii,2012,1.6 Trend Sigma,119700,230000,5.0,hatchback,Bs.as. G.b.a. Oeste
3008,Volkswagen,gol_trend,2011,1.6 Pack Iii + Abs,62000,185000,5.0,hatchback,Bs.as. G.b.a. Sur
3009,Honda,fit,2012,1.5 Ex Mt 120cv,41000,330000,5.0,hatchback,Bs.as. G.b.a. Norte
3010,Ford,ecosport,2014,1.6 Freestyle 110cv 4x2,55000,370000,5.0,suv,Bs.as. Costa Atlántica
3011,Ford,fiesta_kinetic_design,2014,1.6 Design 120cv Titanium,50000,365000,5.0,hatchback,Bs.as. G.b.a. Norte
3012,Volkswagen,fox,2011,1.6 Trendline Imotion,98000,195000,5.0,hatchback,Bs.as. G.b.a. Sur
3013,Volkswagen,vento,2013,2.5 Luxury 170cv,65000,380000,4.0,sedan,Bs.as. G.b.a. Oeste
3014,Ford,ranger,2011,3.0 Cd Superduty 4x4,118000,395000,2.0,pick_up,Bs.as. G.b.a. Norte
3015,Honda,city,2014,1.5 Ex-l Mt 120cv,83900,285900,4.0,sedan,Capital Federal
3016,Volkswagen,fox,2012,1.6 Trendline,120000,220000,5.0,hatchback,Bs.as. G.b.a. Sur
3017,Mercedes Benz,clase_b,2012,1.7 B180 Manual,89000,295000,5.0,minivan,Bs.as. G.b.a. Norte
3018,Volkswagen,fox,2014,1.6 Highline,50000,230000,3.0,hatchback,Capital Federal
